Id,topic,Label
2024-01-20_1339.txt,32,2024-01-20_1339.txt
2024-01-13_1413.txt,32,2024-01-13_1413.txt
2024-03-10_399.txt,68,2024-03-10_399.txt
2024-03-17_338.txt,56,2024-03-17_338.txt
2024-03-16_344.txt,56,2024-03-16_344.txt
2024-03-22_289.txt,56,2024-03-22_289.txt
2024-03-20_313.txt,56,2024-03-20_313.txt
2024-03-12_381.txt,56,2024-03-12_381.txt
2024-03-21_301.txt,56,2024-03-21_301.txt
2024-03-23_278.txt,56,2024-03-23_278.txt
2024-03-25_267.txt,56,2024-03-25_267.txt
2024-03-26_257.txt,56,2024-03-26_257.txt
2024-03-28_237.txt,64,2024-03-28_237.txt
2024-03-27_248.txt,56,2024-03-27_248.txt
2024-04-04_157.txt,56,2024-04-04_157.txt
2024-03-30_616.txt,64,2024-03-30_616.txt
2024-03-29_225.txt,64,2024-03-29_225.txt
2024-03-31_207.txt,64,2024-03-31_207.txt
2024-04-02_184.txt,64,2024-04-02_184.txt
2024-04-01_196.txt,64,2024-04-01_196.txt
2024-04-07_120.txt,56,2024-04-07_120.txt
2024-04-05_143.txt,56,2024-04-05_143.txt
2024-04-06_126.txt,56,2024-04-06_126.txt
2024-04-08_107.txt,56,2024-04-08_107.txt
2024-04-03_165.txt,64,2024-04-03_165.txt
2024-04-16_25.txt,64,2024-04-16_25.txt
2024-04-15_35.txt,64,2024-04-15_35.txt
2024-04-11_73.txt,26,2024-04-11_73.txt
2024-04-12_65.txt,26,2024-04-12_65.txt
2024-01-27_1257.txt,32,2024-01-27_1257.txt
2024-02-03_1189.txt,72,2024-02-03_1189.txt
2024-03-21_300.txt,46,2024-03-21_300.txt
2024-03-11_390.txt,69,2024-03-11_390.txt
2024-03-18_330.txt,69,2024-03-18_330.txt
2024-02-19_1031.txt,69,2024-02-19_1031.txt
2024-02-26_946.txt,69,2024-02-26_946.txt
2024-03-25_265.txt,69,2024-03-25_265.txt
2024-02-14_1091.txt,72,2024-02-14_1091.txt
2024-04-08_101.txt,69,2024-04-08_101.txt
2024-03-07_832.txt,46,2024-03-07_832.txt
2024-01-19_1351.txt,32,2024-01-19_1351.txt
2023-04-11_3631.txt,78,2023-04-11_3631.txt
2023-10-11_3217.txt,78,2023-10-11_3217.txt
2023-07-07_3444.txt,78,2023-07-07_3444.txt
2023-05-15_3564.txt,78,2023-05-15_3564.txt
2023-10-27_2801.txt,78,2023-10-27_2801.txt
2023-10-16_3087.txt,78,2023-10-16_3087.txt
2023-11-09_2459.txt,78,2023-11-09_2459.txt
2023-12-08_1869.txt,78,2023-12-08_1869.txt
2023-11-27_2067.txt,78,2023-11-27_2067.txt
2024-01-23_1305.txt,78,2024-01-23_1305.txt
2023-11-03_2619.txt,43,2023-11-03_2619.txt
2023-11-01_2677.txt,43,2023-11-01_2677.txt
2023-11-02_2642.txt,43,2023-11-02_2642.txt
2023-11-05_2567.txt,43,2023-11-05_2567.txt
2023-11-07_2521.txt,43,2023-11-07_2521.txt
2023-11-04_2588.txt,43,2023-11-04_2588.txt
2023-11-06_2547.txt,43,2023-11-06_2547.txt
2023-10-16_3104.txt,43,2023-10-16_3104.txt
2023-11-08_2496.txt,43,2023-11-08_2496.txt
2023-11-09_2469.txt,43,2023-11-09_2469.txt
2023-11-12_2389.txt,43,2023-11-12_2389.txt
2023-11-10_2439.txt,43,2023-11-10_2439.txt
2023-11-20_2218.txt,43,2023-11-20_2218.txt
2023-11-13_2373.txt,43,2023-11-13_2373.txt
2023-11-16_2301.txt,43,2023-11-16_2301.txt
2023-11-14_2349.txt,43,2023-11-14_2349.txt
2023-11-15_2325.txt,43,2023-11-15_2325.txt
2024-02-20_1013.txt,55,2024-02-20_1013.txt
2024-03-04_866.txt,67,2024-03-04_866.txt
2024-03-05_859.txt,67,2024-03-05_859.txt
2024-01-06_1492.txt,55,2024-01-06_1492.txt
2024-03-03_874.txt,67,2024-03-03_874.txt
2024-02-27_937.txt,63,2024-02-27_937.txt
2024-02-28_923.txt,63,2024-02-28_923.txt
