filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,topic_2
2024-02-04_1183.txt,2024-02-18_1049.txt,0.927309522126282,"Israel’s war on Gaza: List of key events, day 121",2024,2,4,"Israel’s war on Gaza: List of key events, day 135",2024,2,18,68,68
2024-01-07_1480.txt,2024-02-18_1049.txt,0.9254077840721856,"Israel’s war on Gaza: List of key events, day 93",2024,1,7,"Israel’s war on Gaza: List of key events, day 135",2024,2,18,68,68
2024-01-28_1248.txt,2024-02-18_1049.txt,0.9114628227452513,"Israel’s war on Gaza: List of key events, day 114",2024,1,28,"Israel’s war on Gaza: List of key events, day 135",2024,2,18,68,68
2024-01-14_1405.txt,2024-01-21_1329.txt,1.0,"Israel’s war on Gaza: List of key events, day 100",2024,1,14,"Israel’s war on Gaza: List of key events, day 107",2024,1,21,68,68
2024-01-07_1480.txt,2024-01-21_1329.txt,0.9254077840721856,"Israel’s war on Gaza: List of key events, day 93",2024,1,7,"Israel’s war on Gaza: List of key events, day 107",2024,1,21,68,68
2024-01-07_1480.txt,2024-01-14_1405.txt,0.9254077840721856,"Israel’s war on Gaza: List of key events, day 93",2024,1,7,"Israel’s war on Gaza: List of key events, day 100",2024,1,14,68,68
2024-03-06_846.txt,2024-03-27_246.txt,0.9392072411938738,"Israel’s war on Gaza: List of key events, day 152",2024,3,6,"Israel’s war on Gaza: List of key events, day 173",2024,3,27,46,46
2024-03-14_358.txt,2024-03-27_246.txt,0.8415571322218837,"Is­rael’s war on Gaza: List of key events, day 160",2024,3,14,"Israel’s war on Gaza: List of key events, day 173",2024,3,27,46,46
2024-02-07_1162.txt,2024-02-14_1091.txt,0.9355661819261408,"Israel’s war on Gaza: List of key events, day 124",2024,2,7,"Israel’s war on Gaza: List of key events, day 131",2024,2,14,72,72
2024-01-31_1221.txt,2024-04-17_17.txt,1.0,"Israel’s war on Gaza: List of key events, day 117",2024,1,31,"Israel’s war on Gaza: List of key events, day 194",2024,4,17,32,32
2024-01-17_1370.txt,2024-04-17_17.txt,1.0,"Israel’s war on Gaza: List of key events, day 103",2024,1,17,"Israel’s war on Gaza: List of key events, day 194",2024,4,17,32,32
2024-04-04_153.txt,2024-04-17_17.txt,0.937118602692235,"Israel’s war on Gaza: List of key events, day 181",2024,4,4,"Israel’s war on Gaza: List of key events, day 194",2024,4,17,32,32
2024-01-10_1456.txt,2024-04-17_17.txt,0.9246067349717114,"Israel’s war on Gaza: List of key events, day 96",2024,1,10,"Israel’s war on Gaza: List of key events, day 194",2024,4,17,32,32
2024-01-24_1295.txt,2024-04-17_17.txt,0.9193838631947764,"Israel’s war on Gaza: List of key events, day 110",2024,1,24,"Israel’s war on Gaza: List of key events, day 194",2024,4,17,32,32
2024-04-10_81.txt,2024-04-17_17.txt,0.839935986203695,"Israel’s war on Gaza: List of key events, day 187",2024,4,10,"Israel’s war on Gaza: List of key events, day 194",2024,4,17,32,32
